state,year,value
001,1895-01,43.1
001,1895-02,37.4
001,1895-03,54.5
001,1895-04,63.4
001,1895-05,69.5
001,1895-06,77.5
001,1895-07,79.2
001,1895-08,79.5
001,1895-09,77.8
001,1895-10,59.7
001,1895-11,53.2
001,1895-12,44.9
001,1896-01,43.5
001,1896-02,47.7
001,1896-03,52.5
001,1896-04,68.0
001,1896-05,75.9
001,1896-06,77.4
001,1896-07,81.2
001,1896-08,82.2
001,1896-09,75.9
001,1896-10,63.2
001,1896-11,57.3
001,1896-12,46.4
001,1897-01,41.8
001,1897-02,51.1
001,1897-03,60.2
001,1897-04,62.4
001,1897-05,69.0
001,1897-06,81.2
001,1897-07,81.5
001,1897-08,78.8
001,1897-09,75.6
001,1897-10,67.1
001,1897-11,54.2
001,1897-12,47.4
001,1898-01,49.0
001,1898-02,46.1
001,1898-03,59.2
001,1898-04,58.8
001,1898-05,74.1
001,1898-06,80.4
001,1898-07,80.0
001,1898-08,78.8
001,1898-09,75.2
001,1898-10,61.0
001,1898-11,49.8
001,1898-12,43.4
001,1899-01,43.8
001,1899-02,40.0
001,1899-03,55.6
001,1899-04,61.7
001,1899-05,76.1
001,1899-06,79.9
001,1899-07,80.4
001,1899-08,80.9
001,1899-09,72.8
001,1899-10,66.0
001,1899-11,55.3
001,1899-12,44.7
001,1900-01,43.6
001,1900-02,44.4
001,1900-03,52.9
001,1900-04,64.2
001,1900-05,71.4
001,1900-06,76.3
001,1900-07,79.8
001,1900-08,81.2
001,1900-09,77.6
001,1900-10,68.2
001,1900-11,54.7
001,1900-12,46.6
001,1901-01,46.0
001,1901-02,43.1
001,1901-03,53.3
001,1901-04,58.1
001,1901-05,70.6
001,1901-06,78.8
001,1901-07,82.4
001,1901-08,78.7
001,1901-09,72.4
001,1901-10,62.5
001,1901-11,48.7
001,1901-12,42.1
001,1902-01,43.2
001,1902-02,40.8
001,1902-03,55.1
001,1902-04,62.1
001,1902-05,75.7
001,1902-06,81.2
001,1902-07,83.1
001,1902-08,82.3
001,1902-09,73.6
001,1902-10,63.1
001,1902-11,57.6
001,1902-12,45.2
001,1903-01,43.4
001,1903-02,48.2
001,1903-03,59.5
001,1903-04,61.1
001,1903-05,69.8
001,1903-06,73.6
001,1903-07,80.4
001,1903-08,80.6
001,1903-09,73.2
001,1903-10,63.2
001,1903-11,50.6
001,1903-12,40.1
001,1904-01,41.1
001,1904-02,48.9
001,1904-03,58.1
001,1904-04,60.0
001,1904-05,70.2
001,1904-06,78.1
001,1904-07,78.6
001,1904-08,78.6
001,1904-09,77.0
001,1904-10,64.6
001,1904-11,52.1
001,1904-12,45.9
001,1905-01,38.6
001,1905-02,39.1
001,1905-03,59.1
001,1905-04,63.7
001,1905-05,74.5
001,1905-06,79.4
001,1905-07,79.8
001,1905-08,79.4
