state,year,value
001,1895-01,52.7
001,1895-02,48.1
001,1895-03,66.5
001,1895-04,75.7
001,1895-05,80.6
001,1895-06,88.4
001,1895-07,89.6
001,1895-08,89.7
001,1895-09,89.1
001,1895-10,74.2
001,1895-11,65.1
001,1895-12,57.1
001,1896-01,53.0
001,1896-02,59.0
001,1896-03,63.9
001,1896-04,80.6
001,1896-05,87.8
001,1896-06,87.9
001,1896-07,91.6
001,1896-08,94.0
001,1896-09,89.2
001,1896-10,75.8
001,1896-11,68.9
001,1896-12,57.7
001,1897-01,52.1
001,1897-02,61.0
001,1897-03,69.9
001,1897-04,74.8
001,1897-05,82.2
001,1897-06,94.0
001,1897-07,92.8
001,1897-08,89.5
001,1897-09,88.7
001,1897-10,81.0
001,1897-11,67.1
001,1897-12,58.0
001,1898-01,59.1
001,1898-02,58.0
001,1898-03,69.9
001,1898-04,71.0
001,1898-05,88.0
001,1898-06,92.7
001,1898-07,90.5
001,1898-08,88.4
001,1898-09,85.4
001,1898-10,72.3
001,1898-11,61.0
001,1898-12,54.3
001,1899-01,54.4
001,1899-02,51.4
001,1899-03,67.8
001,1899-04,72.6
001,1899-05,88.6
001,1899-06,92.3
001,1899-07,91.9
001,1899-08,92.0
001,1899-09,86.3
001,1899-10,78.1
001,1899-11,67.8
001,1899-12,55.6
001,1900-01,55.3
001,1900-02,56.4
001,1900-03,64.5
001,1900-04,76.7
001,1900-05,84.4
001,1900-06,85.2
001,1900-07,90.6
001,1900-08,93.5
001,1900-09,89.1
001,1900-10,78.2
001,1900-11,66.4
001,1900-12,57.4
001,1901-01,57.5
001,1901-02,53.9
001,1901-03,65.5
001,1901-04,70.0
001,1901-05,84.0
001,1901-06,91.1
001,1901-07,95.1
001,1901-08,89.6
001,1901-09,83.7
001,1901-10,76.2
001,1901-11,62.7
001,1901-12,53.6
001,1902-01,55.4
001,1902-02,50.9
001,1902-03,66.2
001,1902-04,74.9
001,1902-05,88.3
001,1902-06,94.6
001,1902-07,96.1
001,1902-08,94.6
001,1902-09,84.8
001,1902-10,75.6
001,1902-11,69.2
001,1902-12,55.6
001,1903-01,53.5
001,1903-02,59.5
001,1903-03,68.4
001,1903-04,74.0
001,1903-05,81.0
001,1903-06,85.1
001,1903-07,92.0
001,1903-08,91.8
001,1903-09,86.7
001,1903-10,77.0
001,1903-11,62.5
001,1903-12,52.8
001,1904-01,52.6
001,1904-02,60.2
001,1904-03,70.3
001,1904-04,72.7
001,1904-05,84.2
001,1904-06,91.3
001,1904-07,90.6
001,1904-08,89.6
001,1904-09,90.3
001,1904-10,80.1
001,1904-11,64.9
001,1904-12,57.0
001,1905-01,49.8
001,1905-02,49.5
001,1905-03,71.6
001,1905-04,75.7
001,1905-05,85.4
001,1905-06,91.4
001,1905-07,91.1
001,1905-08,89.8
001,1905-09,88.2
001,1905-10,74.4
001,1905-11,68.0
001,1905-12,52.6
001,1906-01,57.2
001,1906-02,58.1
001,1906-03,61.9
001,1906-04,79.1
001,1906-05,82.1
001,1906-06,91.1
001,1906-07,89.9
001,1906-08,91.7
001,1906-09,88.6
001,1906-10,72.6
001,1906-11,68.8
001,1906-12,60.4
001,1907-01,65.0
001,1907-02,60.6
001,1907-03,77.3
001,1907-04,70.0
001,1907-05,79.2
001,1907-06,88.2
001,1907-07,92.8
001,1907-08,92.5
001,1907-09,86.8
001,1907-10,76.9
001,1907-11,62.8
001,1907-12,55.5
001,1908-01,54.6
001,1908-02,55.2
001,1908-03,74.6
001,1908-04,79.7
001,1908-05,84.0
001,1908-06,90.4
001,1908-07,91.9
001,1908-08,91.4
001,1908-09,87.0
001,1908-10,75.3
001,1908-11,70.3
001,1908-12,61.6
001,1909-01,61.0
001,1909-02,63.2
001,1909-03,67.8
001,1909-04,75.6
001,1909-05,81.4
001,1909-06,89.0
001,1909-07,91.5
001,1909-08,92.8
001,1909-09,87.3
001,1909-10,79.1
001,1909-11,74.8
001,1909-12,52.1
001,1910-01,57.6
001,1910-02,56.9
001,1910-03,75.2
001,1910-04,75.8
001,1910-05,81.9
001,1910-06,86.9
001,1910-07,88.8
001,1910-08,91.2
001,1910-09,90.3
001,1910-10,79.5
001,1910-11,64.1
001,1910-12,53.2
001,1911-01,61.3
001,1911-02,65.4
001,1911-03,71.1
001,1911-04,74.9
001,1911-05,86.6
001,1911-06,93.9
001,1911-07,89.1
001,1911-08,89.8
001,1911-09,92.5
001,1911-10,80.4
001,1911-11,62.6
001,1911-12,60.1
001,1912-01,51.4
001,1912-02,55.1
001,1912-03,63.6
001,1912-04,76.0
001,1912-05,84.8
001,1912-06,85.8
001,1912-07,90.2
001,1912-08,90.2
001,1912-09,87.5
001,1912-10,77.6
001,1912-11,64.8
001,1912-12,56.9
001,1913-01,62.5
001,1913-02,58.2
001,1913-03,66.5
001,1913-04,75.0
001,1913-05,84.6
001,1913-06,91.1
001,1913-07,92.7
001,1913-08,93.4
001,1913-09,84.0
001,1913-10,73.9
001,1913-11,70.1
001,1913-12,57.2
001,1914-01,58.8
001,1914-02,57.4
001,1914-03,62.2
001,1914-04,76.7
001,1914-05,85.4
001,1914-06,96.4
001,1914-07,93.9
001,1914-08,89.6
001,1914-09,84.5
001,1914-10,74.8
001,1914-11,65.8
001,1914-12,51.5
001,1915-01,53.3
001,1915-02,58.9
001,1915-03,58.1
001,1915-04,79.0
001,1915-05,86.1
001,1915-06,90.8
001,1915-07,92.2
001,1915-08,90.1
001,1915-09,88.5
001,1915-10,78.0
001,1915-11,70.4
001,1915-12,58.0
001,1916-01,62.6
001,1916-02,59.9
001,1916-03,67.1
001,1916-04,74.7
001,1916-05,86.2
001,1916-06,89.0
001,1916-07,87.3
001,1916-08,91.3
001,1916-09,86.6
001,1916-10,78.0
001,1916-11,68.5
001,1916-12,58.2
001,1917-01,60.0
001,1917-02,60.9
001,1917-03,68.7
001,1917-04,77.5
001,1917-05,79.7
001,1917-06,90.9
001,1917-07,90.9
001,1917-08,89.5
001,1917-09,84.4
001,1917-10,73.4
001,1917-11,64.3
001,1917-12,50.9
001,1918-01,48.6
001,1918-02,65.2
001,1918-03,74.6
001,1918-04,71.8
001,1918-05,85.3
001,1918-06,92.2
001,1918-07,90.6
001,1918-08,92.4
001,1918-09,83.1
001,1918-10,78.4
001,1918-11,64.5
001,1918-12,59.5
001,1919-01,56.3
001,1919-02,58.5
001,1919-03,69.0
001,1919-04,76.2
001,1919-05,79.8
001,1919-06,88.9
001,1919-07,90.1
001,1919-08,89.6
001,1919-09,88.2
001,1919-10,84.7
001,1919-11,69.0
001,1919-12,58.8
001,1920-01,56.8
001,1920-02,56.5
001,1920-03,63.7
001,1920-04,73.7
001,1920-05,80.9
001,1920-06,88.7
001,1920-07,90.1
001,1920-08,87.4
001,1920-09,87.9
001,1920-10,78.4
001,1920-11,63.3
001,1920-12,55.2
001,1921-01,61.1
001,1921-02,62.0
001,1921-03,75.9
001,1921-04,74.5
001,1921-05,82.3
001,1921-06,93.2
001,1921-07,92.9
001,1921-08,91.8
001,1921-09,93.2
001,1921-10,76.7
001,1921-11,70.1
001,1921-12,62.6
001,1922-01,55.4
001,1922-02,64.3
001,1922-03,66.6
001,1922-04,77.8
001,1922-05,82.1
001,1922-06,89.9
001,1922-07,91.1
001,1922-08,90.4
001,1922-09,90.0
001,1922-10,77.0
001,1922-11,69.0
001,1922-12,63.7
001,1923-01,62.8
001,1923-02,57.7
001,1923-03,66.7
001,1923-04,74.8
001,1923-05,79.8
001,1923-06,87.4
001,1923-07,89.4
001,1923-08,88.5
001,1923-09,87.7
001,1923-10,76.0
001,1923-11,63.7
001,1923-12,62.8
001,1924-01,52.7
001,1924-02,58.0
001,1924-03,61.8
001,1924-04,74.8
001,1924-05,79.5
001,1924-06,90.6
001,1924-07,91.9
001,1924-08,94.3
001,1924-09,83.6
001,1924-10,79.1
001,1924-11,69.7
001,1924-12,58.5
001,1925-01,57.2
001,1925-02,64.3
001,1925-03,70.8
001,1925-04,80.8
001,1925-05,82.6
001,1925-06,93.3
001,1925-07,93.6
001,1925-08,93.3
001,1925-09,96.8
001,1925-10,75.8
001,1925-11,63.2
001,1925-12,55.7
001,1926-01,53.8
001,1926-02,62.1
001,1926-03,59.8
001,1926-04,74.0
001,1926-05,83.4
001,1926-06,89.4
001,1926-07,90.9
001,1926-08,90.4
001,1926-09,89.8
001,1926-10,78.3
001,1926-11,61.5
001,1926-12,61.8
001,1927-01,59.5
001,1927-02,68.7
001,1927-03,67.4
001,1927-04,79.8
001,1927-05,84.8
001,1927-06,88.3
001,1927-07,92.4
001,1927-08,89.8
001,1927-09,90.8
001,1927-10,81.5
001,1927-11,71.4
001,1927-12,57.0
001,1928-01,56.0
001,1928-02,59.0
001,1928-03,67.1
001,1928-04,71.4
001,1928-05,81.5
001,1928-06,86.0
001,1928-07,91.4
001,1928-08,91.6
001,1928-09,84.8
001,1928-10,79.4
001,1928-11,64.5
001,1928-12,58.3
001,1929-01,59.9
001,1929-02,56.4
001,1929-03,70.5
001,1929-04,78.1
001,1929-05,82.1
001,1929-06,88.5
001,1929-07,91.4
001,1929-08,93.0
001,1929-09,84.9
001,1929-10,74.4
001,1929-11,62.6
001,1929-12,56.2
001,1930-01,55.7
001,1930-02,65.8
001,1930-03,62.8
001,1930-04,78.8
001,1930-05,84.4
001,1930-06,89.9
001,1930-07,96.9
001,1930-08,91.7
001,1930-09,86.9
001,1930-10,73.6
001,1930-11,62.6
001,1930-12,52.3
001,1931-01,55.3
001,1931-02,61.6
001,1931-03,60.7
001,1931-04,74.0
001,1931-05,80.7
001,1931-06,93.8
001,1931-07,92.5
001,1931-08,89.0
001,1931-09,92.2
001,1931-10,80.9
001,1931-11,73.0
001,1931-12,63.6
001,1932-01,62.5
001,1932-02,68.0
001,1932-03,63.0
001,1932-04,77.2
001,1932-05,81.3
001,1932-06,90.0
001,1932-07,93.6
001,1932-08,91.1
001,1932-09,84.7
001,1932-10,74.7
001,1932-11,60.5
001,1932-12,58.9
001,1933-01,61.6
001,1933-02,58.7
001,1933-03,67.4
001,1933-04,73.7
001,1933-05,87.7
001,1933-06,91.8
001,1933-07,89.3
001,1933-08,90.8
001,1933-09,91.6
001,1933-10,78.1
001,1933-11,67.1
001,1933-12,66.5
001,1934-01,58.6
001,1934-02,56.4
001,1934-03,65.9
001,1934-04,76.1
001,1934-05,83.0
001,1934-06,91.1
001,1934-07,92.0
001,1934-08,90.4
001,1934-09,86.5
001,1934-10,78.5
001,1934-11,68.4
001,1934-12,55.3
001,1935-01,57.9
001,1935-02,60.3
001,1935-03,72.2
001,1935-04,75.0
001,1935-05,83.8
001,1935-06,88.3
001,1935-07,91.9
001,1935-08,91.8
001,1935-09,86.2
001,1935-10,80.0
001,1935-11,66.1
001,1935-12,49.4
001,1936-01,54.2
001,1936-02,55.8
001,1936-03,71.4
001,1936-04,73.6
001,1936-05,85.7
001,1936-06,94.6
001,1936-07,92.6
001,1936-08,91.5
001,1936-09,89.3
001,1936-10,78.2
001,1936-11,64.1
001,1936-12,58.5
001,1937-01,65.0
001,1937-02,58.3
001,1937-03,64.7
001,1937-04,75.8
001,1937-05,84.4
001,1937-06,91.3
001,1937-07,91.3
001,1937-08,91.3
001,1937-09,84.2
001,1937-10,73.0
001,1937-11,61.4
001,1937-12,55.9
001,1938-01,56.8
001,1938-02,66.0
001,1938-03,73.9
001,1938-04,75.2
001,1938-05,84.0
001,1938-06,88.2
001,1938-07,90.2
001,1938-08,92.6
001,1938-09,87.2
001,1938-10,80.5
001,1938-11,68.6
001,1938-12,57.7
001,1939-01,60.4
001,1939-02,63.2
001,1939-03,70.3
001,1939-04,74.0
001,1939-05,81.5
001,1939-06,88.6
001,1939-07,91.4
001,1939-08,88.3
001,1939-09,88.1
001,1939-10,79.1
001,1939-11,64.1
001,1939-12,60.0
001,1940-01,43.0
001,1940-02,54.3
001,1940-03,66.3
001,1940-04,72.8
001,1940-05,81.7
001,1940-06,87.6
001,1940-07,87.8
001,1940-08,90.7
001,1940-09,86.5
001,1940-10,79.9
001,1940-11,65.0
001,1940-12,60.1
001,1941-01,57.9
001,1941-02,53.3
001,1941-03,60.6
001,1941-04,77.3
001,1941-05,86.8
001,1941-06,89.6
001,1941-07,90.0
001,1941-08,90.8
001,1941-09,89.1
001,1941-10,83.0
001,1941-11,66.1
001,1941-12,59.9
001,1942-01,55.5
001,1942-02,53.6
001,1942-03,65.8
001,1942-04,78.3
001,1942-05,83.5
001,1942-06,89.2
001,1942-07,91.4
001,1942-08,88.5
001,1942-09,84.3
001,1942-10,78.1
001,1942-11,69.5
001,1942-12,58.4
001,1943-01,59.1
001,1943-02,62.8
001,1943-03,64.5
001,1943-04,76.3
001,1943-05,85.7
001,1943-06,93.0
001,1943-07,92.3
001,1943-08,93.9
001,1943-09,83.1
001,1943-10,75.8
001,1943-11,65.9
001,1943-12,56.4
001,1944-01,56.3
001,1944-02,64.3
001,1944-03,68.1
001,1944-04,73.3
001,1944-05,85.1
001,1944-06,93.2
001,1944-07,91.8
001,1944-08,89.0
001,1944-09,85.8
001,1944-10,77.9
001,1944-11,65.4
001,1944-12,55.7
001,1945-01,56.0
001,1945-02,62.3
001,1945-03,75.5
001,1945-04,78.0
001,1945-05,81.0
001,1945-06,90.4
001,1945-07,90.2
001,1945-08,90.8
001,1945-09,88.6
001,1945-10,75.6
001,1945-11,68.2
001,1945-12,50.8
001,1946-01,56.4
001,1946-02,62.9
001,1946-03,71.8
001,1946-04,79.0
001,1946-05,80.8
001,1946-06,87.0
001,1946-07,88.1
001,1946-08,88.4
001,1946-09,82.7
001,1946-10,77.3
001,1946-11,69.9
001,1946-12,63.1
001,1947-01,58.4
001,1947-02,54.5
001,1947-03,60.7
001,1947-04,76.4
001,1947-05,81.5
001,1947-06,87.8
001,1947-07,89.1
001,1947-08,92.0
001,1947-09,87.7
001,1947-10,80.6
001,1947-11,61.7
001,1947-12,59.2
001,1948-01,49.8
001,1948-02,60.5
001,1948-03,68.7
001,1948-04,79.2
001,1948-05,84.5
001,1948-06,91.5
001,1948-07,91.6
001,1948-08,89.8
001,1948-09,83.7
001,1948-10,75.4
001,1948-11,66.8
001,1948-12,60.0
001,1949-01,63.0
001,1949-02,63.2
001,1949-03,65.8
001,1949-04,72.7
001,1949-05,85.0
001,1949-06,87.7
001,1949-07,90.3
001,1949-08,89.7
001,1949-09,83.6
001,1949-10,79.2
001,1949-11,66.5
001,1949-12,60.2
001,1950-01,68.4
001,1950-02,65.8
001,1950-03,64.3
001,1950-04,72.1
001,1950-05,85.0
001,1950-06,89.0
001,1950-07,88.0
001,1950-08,88.9
001,1950-09,82.2
001,1950-10,78.5
001,1950-11,62.8
001,1950-12,51.7
001,1951-01,58.9
001,1951-02,61.8
001,1951-03,67.2
001,1951-04,73.9
001,1951-05,84.5
001,1951-06,90.4
001,1951-07,92.5
001,1951-08,95.4
001,1951-09,87.0
001,1951-10,78.8
001,1951-11,61.3
001,1951-12,61.7
001,1952-01,63.0
001,1952-02,61.8
001,1952-03,65.9
001,1952-04,74.5
001,1952-05,84.3
001,1952-06,95.0
001,1952-07,95.8
001,1952-08,91.1
001,1952-09,84.0
001,1952-10,72.6
001,1952-11,65.6
001,1952-12,56.1
001,1953-01,60.6
001,1953-02,60.2
001,1953-03,70.0
001,1953-04,73.8
001,1953-05,85.2
001,1953-06,92.8
001,1953-07,90.2
001,1953-08,91.5
001,1953-09,87.3
001,1953-10,80.1
001,1953-11,66.6
001,1953-12,54.8
001,1954-01,58.7
001,1954-02,66.0
001,1954-03,65.7
001,1954-04,80.4
001,1954-05,78.3
001,1954-06,92.6
001,1954-07,94.8
001,1954-08,97.3
001,1954-09,93.0
001,1954-10,79.6
001,1954-11,63.9
001,1954-12,56.6
001,1955-01,54.8
001,1955-02,60.4
001,1955-03,71.6
001,1955-04,79.3
001,1955-05,86.0
001,1955-06,85.8
001,1955-07,90.5
001,1955-08,91.9
001,1955-09,89.2
001,1955-10,76.7
001,1955-11,65.2
001,1955-12,56.8
001,1956-01,53.5
001,1956-02,64.4
001,1956-03,67.5
001,1956-04,74.0
001,1956-05,85.6
001,1956-06,88.2
001,1956-07,91.4
001,1956-08,93.1
001,1956-09,85.7
001,1956-10,76.9
001,1956-11,64.6
001,1956-12,66.1
001,1957-01,58.8
001,1957-02,66.9
001,1957-03,63.7
001,1957-04,77.2
001,1957-05,83.1
001,1957-06,88.7
001,1957-07,90.9
001,1957-08,92.4
001,1957-09,83.4
001,1957-10,70.0
001,1957-11,65.5
001,1957-12,59.4
001,1958-01,50.2
001,1958-02,49.8
001,1958-03,61.3
001,1958-04,75.7
001,1958-05,83.2
001,1958-06,89.2
001,1958-07,89.2
001,1958-08,90.5
001,1958-09,86.6
001,1958-10,75.1
001,1958-11,68.9
001,1958-12,54.0
001,1959-01,55.8
001,1959-02,59.5
001,1959-03,64.7
001,1959-04,74.8
001,1959-05,85.1
001,1959-06,87.3
001,1959-07,91.1
001,1959-08,92.0
001,1959-09,85.1
001,1959-10,75.4
001,1959-11,64.6
001,1959-12,57.9
001,1960-01,53.6
001,1960-02,55.7
001,1960-03,56.3
001,1960-04,77.6
001,1960-05,80.9
001,1960-06,89.5
001,1960-07,93.4
