state,year,value
001,1895-01,33.4
001,1895-02,26.8
001,1895-03,42.4
001,1895-04,51.2
001,1895-05,58.4
001,1895-06,66.5
001,1895-07,68.8
001,1895-08,69.3
001,1895-09,66.4
001,1895-10,45.2
001,1895-11,41.4
001,1895-12,32.7
001,1896-01,34.0
001,1896-02,36.4
001,1896-03,41.2
001,1896-04,55.6
001,1896-05,63.9
001,1896-06,66.9
001,1896-07,70.7
001,1896-08,70.4
001,1896-09,62.6
001,1896-10,50.6
001,1896-11,45.8
001,1896-12,35.1
001,1897-01,31.4
001,1897-02,41.2
001,1897-03,50.4
001,1897-04,50.1
001,1897-05,55.9
001,1897-06,68.3
001,1897-07,70.2
001,1897-08,68.1
001,1897-09,62.5
001,1897-10,53.1
001,1897-11,41.4
001,1897-12,36.9
001,1898-01,38.8
001,1898-02,34.2
001,1898-03,48.5
001,1898-04,46.4
001,1898-05,60.2
001,1898-06,68.0
001,1898-07,69.6
001,1898-08,69.2
001,1898-09,65.1
001,1898-10,49.6
001,1898-11,38.7
001,1898-12,32.5
001,1899-01,33.1
001,1899-02,28.6
001,1899-03,43.5
001,1899-04,50.8
001,1899-05,63.6
001,1899-06,67.6
001,1899-07,68.9
001,1899-08,69.9
001,1899-09,59.4
001,1899-10,54.0
001,1899-11,42.8
001,1899-12,33.8
001,1900-01,31.9
001,1900-02,32.4
001,1900-03,41.3
001,1900-04,51.6
001,1900-05,58.4
001,1900-06,67.4
001,1900-07,69.1
001,1900-08,68.9
001,1900-09,66.0
001,1900-10,58.2
001,1900-11,43.0
001,1900-12,35.7
001,1901-01,34.5
001,1901-02,32.3
001,1901-03,41.1
001,1901-04,46.2
001,1901-05,57.1
001,1901-06,66.5
001,1901-07,69.8
001,1901-08,67.8
001,1901-09,61.0
001,1901-10,48.8
001,1901-11,34.7
001,1901-12,30.5
001,1902-01,30.9
001,1902-02,30.6
001,1902-03,44.0
001,1902-04,49.3
001,1902-05,63.1
001,1902-06,67.8
001,1902-07,70.1
001,1902-08,70.0
001,1902-09,62.5
001,1902-10,50.6
001,1902-11,45.9
001,1902-12,34.9
001,1903-01,33.3
001,1903-02,36.8
001,1903-03,50.5
001,1903-04,48.2
001,1903-05,58.7
001,1903-06,62.2
001,1903-07,68.8
001,1903-08,69.4
001,1903-09,59.8
001,1903-10,49.4
001,1903-11,38.7
001,1903-12,27.3
001,1904-01,29.7
001,1904-02,37.6
001,1904-03,45.8
001,1904-04,47.3
001,1904-05,56.2
001,1904-06,64.9
001,1904-07,66.6
001,1904-08,67.6
001,1904-09,63.7
001,1904-10,49.2
001,1904-11,39.2
001,1904-12,34.8
001,1905-01,27.5
001,1905-02,28.6
001,1905-03,46.7
001,1905-04,51.8
001,1905-05,63.7
001,1905-06,67.3
001,1905-07,68.4
001,1905-08,69.0
001,1905-09,64.3
001,1905-10,53.0
001,1905-11,42.7
001,1905-12,32.8
001,1906-01,35.1
001,1906-02,32.0
001,1906-03,39.9
001,1906-04,50.7
001,1906-05,57.7
001,1906-06,67.1
001,1906-07,68.5
001,1906-08,69.2
001,1906-09,68.1
001,1906-10,48.5
001,1906-11,41.2
001,1906-12,38.9
001,1907-01,42.2
001,1907-02,36.0
001,1907-03,51.2
001,1907-04,46.2
001,1907-05,57.4
001,1907-06,63.0
001,1907-07,69.6
001,1907-08,68.4
001,1907-09,63.5
001,1907-10,49.7
001,1907-11,39.2
001,1907-12,35.0
001,1908-01,32.2
001,1908-02,32.8
001,1908-03,49.8
001,1908-04,55.2
001,1908-05,59.6
001,1908-06,65.5
001,1908-07,68.7
001,1908-08,67.9
001,1908-09,62.0
001,1908-10,45.3
001,1908-11,43.3
001,1908-12,38.7
001,1909-01,38.2
001,1909-02,37.2
001,1909-03,44.0
001,1909-04,50.6
001,1909-05,56.6
001,1909-06,67.4
001,1909-07,69.3
001,1909-08,69.2
001,1909-09,63.3
001,1909-10,47.3
001,1909-11,44.3
001,1909-12,29.6
001,1910-01,33.0
001,1910-02,33.0
001,1910-03,45.9
001,1910-04,47.6
001,1910-05,56.0
001,1910-06,64.2
001,1910-07,68.8
001,1910-08,67.9
001,1910-09,64.4
001,1910-10,53.3
001,1910-11,37.6
001,1910-12,30.6
001,1911-01,38.6
001,1911-02,43.0
001,1911-03,44.2
001,1911-04,52.1
001,1911-05,58.7
001,1911-06,67.5
001,1911-07,67.2
001,1911-08,68.1
001,1911-09,67.9
001,1911-10,56.6
001,1911-11,37.6
001,1911-12,38.5
001,1912-01,29.0
001,1912-02,30.2
001,1912-03,41.0
001,1912-04,52.7
001,1912-05,59.2
001,1912-06,64.4
001,1912-07,69.1
001,1912-08,68.0
001,1912-09,66.2
001,1912-10,54.2
001,1912-11,35.7
001,1912-12,36.9
001,1913-01,40.0
001,1913-02,35.5
001,1913-03,43.5
001,1913-04,49.1
001,1913-05,58.2
001,1913-06,64.6
001,1913-07,69.8
001,1913-08,67.7
001,1913-09,62.4
001,1913-10,47.7
001,1913-11,41.5
001,1913-12,37.5
001,1914-01,35.2
001,1914-02,33.3
001,1914-03,37.8
001,1914-04,50.9
001,1914-05,57.7
001,1914-06,69.8
001,1914-07,69.8
001,1914-08,68.7
001,1914-09,61.8
001,1914-10,52.8
001,1914-11,38.8
001,1914-12,34.0
001,1915-01,31.6
001,1915-02,36.6
001,1915-03,34.5
001,1915-04,49.5
001,1915-05,62.5
001,1915-06,66.3
001,1915-07,68.6
001,1915-08,68.0
001,1915-09,64.3
001,1915-10,54.7
001,1915-11,42.2
001,1915-12,34.1
001,1916-01,41.0
001,1916-02,33.7
001,1916-03,40.6
001,1916-04,48.9
001,1916-05,59.8
001,1916-06,65.2
001,1916-07,69.9
001,1916-08,68.3
001,1916-09,60.8
001,1916-10,50.3
001,1916-11,39.5
001,1916-12,35.4
001,1917-01,39.4
001,1917-02,35.9
001,1917-03,44.2
001,1917-04,49.6
001,1917-05,52.3
001,1917-06,64.6
001,1917-07,68.7
001,1917-08,67.3
001,1917-09,61.9
001,1917-10,43.5
001,1917-11,36.9
001,1917-12,28.7
001,1918-01,26.1
001,1918-02,41.2
001,1918-03,49.0
001,1918-04,49.9
001,1918-05,59.9
001,1918-06,67.0
001,1918-07,65.9
001,1918-08,68.1
001,1918-09,57.7
001,1918-10,58.8
001,1918-11,40.8
001,1918-12,40.0
001,1919-01,31.7
001,1919-02,36.4
001,1919-03,43.2
001,1919-04,48.3
001,1919-05,58.2
001,1919-06,67.5
001,1919-07,69.2
001,1919-08,68.7
001,1919-09,62.0
001,1919-10,63.4
001,1919-11,45.1
001,1919-12,35.2
001,1920-01,37.0
001,1920-02,35.8
001,1920-03,40.5
001,1920-04,50.7
001,1920-05,60.0
001,1920-06,65.2
001,1920-07,68.6
001,1920-08,67.8
001,1920-09,65.7
001,1920-10,49.1
001,1920-11,37.8
001,1920-12,34.2
001,1921-01,37.5
001,1921-02,38.5
001,1921-03,51.0
001,1921-04,49.1
001,1921-05,57.5
001,1921-06,67.7
001,1921-07,69.9
001,1921-08,68.9
001,1921-09,68.6
001,1921-10,48.1
001,1921-11,45.1
001,1921-12,38.5
001,1922-01,37.4
001,1922-02,43.3
001,1922-03,44.3
001,1922-04,54.8
001,1922-05,61.1
001,1922-06,67.0
001,1922-07,68.6
001,1922-08,67.1
001,1922-09,64.0
001,1922-10,52.1
001,1922-11,44.1
001,1922-12,42.9
001,1923-01,39.0
001,1923-02,35.8
001,1923-03,41.7
001,1923-04,50.9
001,1923-05,58.4
001,1923-06,65.9
001,1923-07,67.6
001,1923-08,68.8
001,1923-09,63.9
001,1923-10,49.9
001,1923-11,38.5
001,1923-12,44.1
001,1924-01,28.5
001,1924-02,34.9
001,1924-03,39.0
001,1924-04,50.4
001,1924-05,55.0
001,1924-06,68.3
001,1924-07,67.5
001,1924-08,68.7
001,1924-09,61.2
001,1924-10,48.9
001,1924-11,40.5
001,1924-12,36.3
001,1925-01,37.1
001,1925-02,40.2
001,1925-03,43.5
001,1925-04,53.8
001,1925-05,56.3
001,1925-06,67.9
001,1925-07,69.5
001,1925-08,67.4
001,1925-09,69.4
001,1925-10,53.8
001,1925-11,40.4
001,1925-12,32.2
001,1926-01,33.7
001,1926-02,38.0
001,1926-03,38.1
001,1926-04,46.8
001,1926-05,56.6
001,1926-06,65.3
001,1926-07,67.2
001,1926-08,70.2
001,1926-09,68.1
001,1926-10,53.8
001,1926-11,37.2
001,1926-12,38.9
001,1927-01,36.2
001,1927-02,46.7
001,1927-03,44.5
001,1927-04,55.3
001,1927-05,60.3
001,1927-06,67.8
001,1927-07,68.7
001,1927-08,66.3
001,1927-09,63.4
001,1927-10,51.6
001,1927-11,47.2
001,1927-12,34.7
001,1928-01,31.9
001,1928-02,35.6
001,1928-03,43.4
001,1928-04,47.0
001,1928-05,56.7
001,1928-06,65.7
001,1928-07,69.6
001,1928-08,69.6
001,1928-09,61.0
001,1928-10,55.0
001,1928-11,40.1
001,1928-12,33.1
001,1929-01,36.3
001,1929-02,34.3
001,1929-03,46.9
001,1929-04,54.6
001,1929-05,60.2
001,1929-06,65.4
001,1929-07,68.1
001,1929-08,66.8
001,1929-09,63.9
001,1929-10,50.3
001,1929-11,45.1
001,1929-12,32.1
001,1930-01,33.9
001,1930-02,40.3
001,1930-03,40.4
001,1930-04,50.4
001,1930-05,60.2
001,1930-06,63.5
001,1930-07,69.8
001,1930-08,66.5
001,1930-09,65.9
001,1930-10,49.4
001,1930-11,43.3
001,1930-12,33.0
001,1931-01,32.1
001,1931-02,36.3
001,1931-03,37.5
001,1931-04,47.7
001,1931-05,55.1
001,1931-06,64.6
001,1931-07,69.9
001,1931-08,65.9
001,1931-09,65.6
001,1931-10,54.1
001,1931-11,46.4
001,1931-12,45.0
001,1932-01,41.2
001,1932-02,45.9
001,1932-03,38.4
001,1932-04,50.6
001,1932-05,57.4
001,1932-06,66.9
001,1932-07,71.1
001,1932-08,69.4
001,1932-09,63.9
001,1932-10,49.3
001,1932-11,37.4
001,1932-12,39.3
001,1933-01,41.2
001,1933-02,37.5
001,1933-03,42.4
001,1933-04,50.2
001,1933-05,63.5
001,1933-06,64.3
001,1933-07,68.8
001,1933-08,68.4
001,1933-09,66.1
001,1933-10,52.4
001,1933-11,40.2
001,1933-12,43.3
001,1934-01,38.0
